"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","locus_tag","feature_type","gene_symbol","product","EC_number","COG","display_name","plot_label","classification"
9729.83326791621,-2.27392478889046,0.060125284291991,-37.819776083676,5.37673430447275e-313,9.45436945091007e-312,"AENJPLPP_01551","AENJPLPP_01551","CDS","gla","Glycerol facilitator-aquaporin gla","","COG0580","gla","gla
(AENJPLPP_01551)","Down in serum"
3826.66191802606,-2.49089234701028,0.0658985453262401,-37.7988973000657,1.18466554235411e-312,2.0702395990152e-311,"AENJPLPP_00382","AENJPLPP_00382","CDS","murJ_1","Lipid II flippase MurJ","","COG2244","murJ_1","murJ_1
(AENJPLPP_00382)","Down in serum"
11883.0522924869,-2.0056705086539,0.0533233714133477,-37.6133476840111,1.30079526189923e-309,2.24545816246142e-308,"AENJPLPP_00893","AENJPLPP_00893","CDS","arnC_2","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase","2.4.2.53","","arnC_2","arnC_2
(AENJPLPP_00893)","Down in serum"
12521.4324050731,-2.25996105569537,0.0604386344621217,-37.3926558038259,5.14335109008036e-306,8.66715889048661e-305,"AENJPLPP_01656","AENJPLPP_01656","CDS","rplT","50S ribosomal protein L20","","COG0292","rplT","rplT
(AENJPLPP_01656)","Down in serum"
7070.71543197849,-2.08885618386268,0.0561408314175565,-37.207432293378,5.1745548639255e-303,8.51695629056574e-302,"AENJPLPP_01655","AENJPLPP_01655","CDS","rpmI","50S ribosomal protein L35","","COG0291","rpmI","rpmI
(AENJPLPP_01655)","Down in serum"
2412.50665610279,-2.68470514663122,0.072295840304292,-37.1349877853461,7.65963537240992e-302,1.25343512943887e-300,"AENJPLPP_01727","AENJPLPP_01727","CDS","pbuG","Guanine/hypoxanthine permease PbuG","","COG2252","pbuG","pbuG
(AENJPLPP_01727)","Down in serum"
33958.0045710264,-2.15943538965674,0.0581896956842917,-37.1102712303697,1.9185844466402e-301,3.1215589473784e-300,"AENJPLPP_00125","AENJPLPP_00125","CDS","tsf","Elongation factor Ts","","COG0264","tsf","tsf
(AENJPLPP_00125)","Down in serum"
2332.38312170957,-2.70017779481275,0.0732176151971101,-36.8788001021826,1.01071903420517e-297,1.62576453740615e-296,"AENJPLPP_00383","AENJPLPP_00383","CDS","degV","Protein DegV","","COG1307","degV","degV
(AENJPLPP_00383)","Down in serum"
35144.4372889027,-2.01210207953768,0.05513000818697,-36.4974021537192,1.21932609661582e-291,1.92844255839071e-290,"AENJPLPP_01474","AENJPLPP_01474","CDS","rpsG","30S ribosomal protein S7","","COG0049","rpsG","rpsG
(AENJPLPP_01474)","Down in serum"
6498.82555221265,-2.03411593043505,0.0557397107078651,-36.4931196197979,1.42576382606223e-291,2.24240966199009e-290,"AENJPLPP_01436","AENJPLPP_01436","CDS","ybiT_3","putative ABC transporter ATP-binding protein YbiT","","COG0488","ybiT_3","ybiT_3
(AENJPLPP_01436)","Down in serum"
