"gene_id","gene_symbol","product","display_name","feature_type","EC_number","COG","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","classification","plot_label","locus_tag"
"AENJPLPP_01530",NA,"hypothetical protein","hypothetical protein","CDS","","",32229.1333237502,2.14212755498472,0.0530348741422782,40.3909237012229,0,0,"Up in serum","hypothetical protein","AENJPLPP_01530"
"AENJPLPP_01537","yclN","Petrobactin import system permease protein YclN","yclN","CDS","","COG4606",2536.84963943873,5.94645367810389,0.109546228236519,54.2825962502789,0,0,"Up in serum","yclN
(AENJPLPP_01537)","AENJPLPP_01537"
"AENJPLPP_01538","yclO","Petrobactin import system permease protein YclO","yclO","CDS","","COG4605",4874.68602585869,5.82969886047187,0.095650000246525,60.9482367532316,0,0,"Up in serum","yclO
(AENJPLPP_01538)","AENJPLPP_01538"
"AENJPLPP_01539","yclP","Petrobactin import ATP-binding protein YclP","yclP","CDS","7.2.2.-","COG4604",3077.51561988223,5.53873591721828,0.101566729181664,54.5329751370806,0,0,"Up in serum","yclP
(AENJPLPP_01539)","AENJPLPP_01539"
"AENJPLPP_01540","yclQ","Petrobactin-binding protein YclQ","yclQ","CDS","","COG4607",9991.31750126104,5.95588775497719,0.0847977741083278,70.2363690274304,0,0,"Up in serum","yclQ
(AENJPLPP_01540)","AENJPLPP_01540"
"AENJPLPP_01558","bioY2","Biotin transporter BioY2","bioY2","CDS","","COG1268",15532.973825928,5.92664014640158,0.0715152147132352,82.872437287177,0,0,"Up in serum","bioY2
(AENJPLPP_01558)","AENJPLPP_01558"
"AENJPLPP_01577","brnQ_1","Branched-chain amino acid transport system 2 carrier protein","brnQ_1","CDS","","COG1114",8189.56537500348,2.54345645849143,0.058124689255265,43.7586246237186,0,0,"Up in serum","brnQ_1
(AENJPLPP_01577)","AENJPLPP_01577"
"AENJPLPP_01633","adhE","Aldehyde-alcohol dehydrogenase","adhE","CDS","","COG1012",53927.1543710093,5.09290472973955,0.0627396634938678,81.1751999632151,0,0,"Up in serum","adhE
(AENJPLPP_01633)","AENJPLPP_01633"
"AENJPLPP_01761",NA,"hypothetical protein","hypothetical protein","CDS","","",5229.52044524473,-4.76920204181012,0.0722124190862441,-66.0440697342407,0,0,"Down in serum","hypothetical protein","AENJPLPP_01761"
"AENJPLPP_01762","gadC_2","putative glutamate/gamma-aminobutyrate antiporter","gadC_2","CDS","","COG0531",1796.06824969128,-4.11920644772632,0.0901810382053979,-45.6770794581489,0,0,"Down in serum","gadC_2
(AENJPLPP_01762)","AENJPLPP_01762"
